ID;Anime;Character;Quote;;;;;;;;
7246;(Tsubasa Reservoir Chronicle);Yuuko Ichihara;But there are no coincidences in this world. There is only Hitsuzen. You were destined to meet each other.;;;;;;;;
7247;(Tsubasa Reservoir Chronicle);Yuuko Ichihara;Fine then, in exchange, you can roam around looking like a cosplayer, violate weapon laws, get arrested by the police, and get interviewed on television.;;;;;;;;
7248;(Tsubasa Reservoir Chronicle);Sakura Kinomoto;"In my room at the palace, right before I go to sleep... I always think to myself, ""What's Syaoran doing right now? Is he thinking about me?"".";;;;;;;;
7249;(Tsubasa Reservoir Chronicle);Fay D. Flourite;Can't whistle, so I just say the words wheet-whoo.;;;;;;;;
7250;(Tsubasa Reservoir Chronicle);Fay D. Flourite;To all the young ones in your group, you are no longer someone who passes through their lives and is forgotten. You have become someone very important to them. Your hardships are their hardships too.;;;;;;;;
7251;(Tsubasa Reservoir Chronicle);Syaoran Li;No matter how painful it might be... I'll do everything in my might! So please, you too, act according to what you believe in!;;;;;;;;
7252;(Tsubasa Reservoir Chronicle);Fay D. Flourite;*punches Kurogane* That was payback, Kuro-sama!;;;;;;;;
7253;(Tsubasa Reservoir Chronicle);Sakura Kinomoto;Because I wished for everyone to live, I did everything I could.;;;;;;;;
7254;(Tsubasa Reservoir Chronicle);Kurogane;*yelling at Fai* You, shut up!! If you want to die that much, I'll kill you myself! But until that day, you're going to live!;;;;;;;;
7255;(Tsubasa Reservoir Chronicle);Kurogane;For all my life... I've wanted strength. I didn't want those things precious to me to be taken away from me anymore. But, to have strength means to invite disaster to come to you. And strength alone can't really protect you.;;;;;;;;
7256;(Tsubasa Reservoir Chronicle);Syaoran Li;Because we knew you were waiting, we did our best so that we'd return.;;;;;;;;
7257;(Tsubasa Reservoir Chronicle);Syaoran Li;If I can protect, I want to protect.;;;;;;;;
7258;(Angel Beats!);Yui;Even death can't cure idiocy.;;;;;;;;
7259;(Angel Beats!);Hideki Hinata;She's an idiot, but she's useful.;;;;;;;;
7260;(Angel Beats!);Yuri Nakamura;That's right. Our weakness is that we're utterly stupid.;;;;;;;;
7261;(Angel Beats!);Hideki Hinata;Glad you're okay *wink* I kinda like you.;;;;;;;;
7262;(Angel Beats!);TK;Hurry up! You can make it! Oh, run to her and hug her tight!;;;;;;;;
7263;(Angel Beats!);TK;I kiss you!;;;;;;;;
7264;(Angel Beats!);Ayato Naoi;Are you talking to me, scum? I'm God.;;;;;;;;
7265;(Angel Beats!);Yuri Nakamura;Are you saying I can be god?;;;;;;;;
7266;(Angel Beats!);Yuri Nakamura;I said she's not an Angel. She's a human, just like us. Didn't you notice?;;;;;;;;
7267;(Angel Beats!);Hideki Hinata;Hey, why does this situation look like something at the end of a shonen manga?!;;;;;;;;
7268;(Angel Beats!);Yui;Care about me!!!;;;;;;;;
7269;(Angel Beats!);Yui;Um, if we encounter the Angel here, I'm going to pee buckets on the spot!;;;;;;;;
7270;(Angel Beats!);Yuri Nakamura;Just give up already. Or do you want my other knife to slice your throat?;;;;;;;;
7271;(Angel Beats!);Kanade Tachibana;Messing around at night together... This calls for punishment.;;;;;;;;
7272;(Angel Beats!);Yui;For all our sake I will sing and pee my heart out in the name of spirit!;;;;;;;;
7273;(Angel Beats!);Ooyama;You got away with just physical damage, but I'm going to take CRITICAL MENTAL DAMAGE!;;;;;;;;
7274;(Angel Beats!);Hideki Hinata;Wow, he did it. He's gonna fl- *boosts up to the ceiling and smashes his head*;;;;;;;;
7275;(Angel Beats!);TK;I'll be back.;;;;;;;;
7276;(Angel Beats!);Hideki Hinata;Don't think that the me tomorrow will be the same as the me today. You'd better be careful.;;;;;;;;
7277;(Angel Beats!);Yuzuru Otonashi;What is the resulting amperage when applying 3.0V to a conductor with 20ohm resistance?;;;;;;;;
7278;(Angel Beats!);TK;Knockin' on Heaven's Door.;;;;;;;;
7279;(Angel Beats!);TK;Scrambled it trouble down.;;;;;;;;
7280;(Angel Beats!);TK;He can't dance in my world right now. Don't let me cry!;;;;;;;;
7281;(Angel Beats!);TK;Hey, yo, check this out! It's a moonwalk, it's a moonwalk! Head spin!;;;;;;;;
7282;(Angel Beats!);TK;Ouch! Are you serious?;;;;;;;;
7283;(Angel Beats!);TK;Just wild heaven.;;;;;;;;
7284;(Angel Beats!);TK;Come on let's dance... aw yeah don't be afraid.;;;;;;;;
7285;(Axis Powers: Hetalia);Russia;I want to see confused and troubled Lithuania to come crying to me.;;;;;;;;
7286;(The Melancholy of Haruhi Suzumiya);Kyon;Real GAY will not be swayed no matter how cute a girl is. Please remember this: out of a hundred men... five are GAY.;;;;;;;;
7287;(The Melancholy of Haruhi Suzumiya);Kyon;Don't use a serious tone. Don't breathe on me. Your face is too close. Freaking me out.;;;;;;;;
7288;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;I didn't abduct her. It was voluntary arrest.;;;;;;;;
7289;(The Melancholy of Haruhi Suzumiya);Kyon;This feels like extortion.;;;;;;;;
7290;(The Melancholy of Haruhi Suzumiya);Yuki Nagato;What is a glasses man?;;;;;;;;
7291;(The Melancholy of Haruhi Suzumiya);Kyon;...but as they say, it ain't over till the fat lady sings. I don't know which fat lady is doing the singing or where she's planning on doing her singing. But if I find out where she is, I'd like to put her out of commission for a year!;;;;;;;;
7292;(The Melancholy of Haruhi Suzumiya);Kyon;The person that needs to be as far away from the H-bomb switch as possible in all of Japan, is right here.;;;;;;;;
7293;(The Melancholy of Haruhi Suzumiya);Kyon;If you're scared, you might as well just cling to my arm. Creates more of an atmosphere.;;;;;;;;
7294;(The Melancholy of Haruhi Suzumiya);Yuki Nagato;I'll back off for now. Next time I won't hesitate to destroy you. Take this time to make your tombstone...;;;;;;;;
7295;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;Every school story has to have a maid character!;;;;;;;;
7296;(The Melancholy of Haruhi Suzumiya);Kyon;I had a dream where I fell into a surreal world with a girl I knew, and then ended up kissing her! A dream so easy to understand that even Sigmund Freud would laugh out loud.;;;;;;;;
7297;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;Kyon, I'm hot!;;;;;;;;
7298;(The Melancholy of Haruhi Suzumiya);Kyon;Afterall, the fate of the world rests on my pitching. The world sure isn't worth much these days.;;;;;;;;
7299;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;Kyon. The contest begins the second someone challenges you. Anything the loser says otherwise is merely an excuse.;;;;;;;;
7300;(The Melancholy of Haruhi Suzumiya);Mikuru Asahina;Kyon-kun. If I become ruined for marriage will you take me?;;;;;;;;
7301;(The Melancholy of Haruhi Suzumiya);Kyon;*to Haruhi* I'm begging you. Establish the context before you start talking.;;;;;;;;
7302;(The Melancholy of Haruhi Suzumiya);Kyon;*thinking* Normally, one would call an ambulance or ask for help from one of the nearby residents, but this particular boy decided to carry the unconscious, innocent girl... and where the hell are you taking her, bastard?;;;;;;;;
7303;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;Remote islands are all about strange incidents, right?;;;;;;;;
7304;(The Melancholy of Haruhi Suzumiya);Kyon;*to Haruhi* Are you a moron?;;;;;;;;
7305;(The Melancholy of Haruhi Suzumiya);Kyon;*commenting on Haruhi's naming of the SOS brigade* Haruhi's incomprehensible words settled the matter. Oh, joy. Just do whatever you want.;;;;;;;;
7306;(The Melancholy of Haruhi Suzumiya);Kyon;*referring to Haruhi* She must have been born dumb.;;;;;;;;
7307;(The Melancholy of Haruhi Suzumiya);Kyon;Emblem? Looks like a grumbling, drunken tapeworm to me.;;;;;;;;
7308;(The Melancholy of Haruhi Suzumiya);Kyon;And without any buildup or fanfare, we now see Nagato Yuki. Even if she were ordinary, she sure doesn't look like a normal person and naturally, she was actually an evil magician. And an alien on top of that.;;;;;;;;
7309;(The Melancholy of Haruhi Suzumiya);Kyon;If your face gets any closer, someone who isn't supposed to be in this scene is going to come over there and kick your ass!;;;;;;;;
7310;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;A picture of you sleeping with a stupid look on your face totally oblivious to the dangers of this trip serves as a warning to future generations!;;;;;;;;
7311;(The Melancholy of Haruhi Suzumiya);Kyon;*referring to Haruhi* It would appear that she views guys on the same level as potatoes.;;;;;;;;
7312;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;"Anyone accepting defeat will be punished by running ten laps around the school, naked! And you'll have to yell ""Green Martians are chasing me!"" for the whole ten laps!";;;;;;;;
7313;(The Melancholy of Haruhi Suzumiya);Itsuki Koizumi;Let's calm down. The enemy is shooting at us.;;;;;;;;
7314;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;It's time to launch the dams!;;;;;;;;
7315;(The Melancholy of Haruhi Suzumiya);Kyon;*thinking* Every day, I hang out with an alien, a time traveler, and a Esper...and I'm still as sane and objective as ever. Hmm...I wonder if that makes me special or something.;;;;;;;;
7316;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;... After all, our goal each year should be to increase the NUMBER of goals we set for ourselves!;;;;;;;;
7317;(The Melancholy of Haruhi Suzumiya);Tsuruya;*mockingly* That's amazing, Mikuru! We're counting on you! The Earth is in your-- *breaks into uncontrollable and hysterical laughter*;;;;;;;;
7318;(The Melancholy of Haruhi Suzumiya);Tsuruya;I can't take you seriously when you're dressed like that! I'm sorry, Mikuru, but I'm being controlled by the alien right now. Here goes nothing!;;;;;;;;
7319;(The Melancholy of Haruhi Suzumiya);Itsuki Koizumi;Well, I don't think we can deny the distinct possibility that the world we are in now was freshly created, by Her, last night! In any case, it's an honor to meet you and Miss Suzumiya again. *laughing softly* Be seeing you after class!;;;;;;;;
7320;(The Melancholy of Haruhi Suzumiya);Itsuki Koizumi;You're the new Adam and Eve. Go on, procreate, increase the population.;;;;;;;;
7321;(The Melancholy of Haruhi Suzumiya);Itsuki Koizumi;"The top brass at the organization is seriously panicked, right now. Nobody knows what will happen to the ""real world"", now that we've lost our Deity. If Miss Suzimiya is feeling merciful, we might get to keep on living, on this side of the bubble.";;;;;;;;
7322;(The Melancholy of Haruhi Suzumiya);Itsuki Koizumi;I don't know how I know, I just know that I know, y'know?;;;;;;;;
7323;(The Melancholy of Haruhi Suzumiya);Itsuki Koizumi;Sometimes I get the feeling that we're all just a bunch of clowns standing on our tiptoes at the edge of a great abyss.;;;;;;;;
7324;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;If there's really that many people in the world, then there had to be someone who wasn't ordinary. There had to be someone who was living an interesting life. There just had to be. Why wasn't I that person?;;;;;;;;
7325;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;You know, Kyon...have you ever realized just how insignificant your existence on this planet really is?;;;;;;;;
7326;(The Melancholy of Haruhi Suzumiya);Asakura Ryouko;Oh please, won't you just give up? You're going to die no matter what, so let me kill you.;;;;;;;;
7327;(The Melancholy of Haruhi Suzumiya);Asakura Ryouko;You think it's a joke? Huh. You don't want to die? You don't want me to kill you? I'm sorry, but I just don't understand the concept of death regarding organic lifeforms.;;;;;;;;
7328;(The Melancholy of Haruhi Suzumiya);Kyon;Stop kidding around! You're gonna hurt someone with that! Even if that's a rubber knife, you're scaring the hell out of me!;;;;;;;;
7329;(The Melancholy of Haruhi Suzumiya);Asakura Ryouko;*to Kyon* I'm getting bored and just fed up watching something that doesn't seem to be changing at all. That's why...I'm going to kill you and see how Miss Suzumiya reacts.;;;;;;;;
7330;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;Listen! This isn't fun and games! You mess around and I'll kill ya!;;;;;;;;
7331;(The Melancholy of Haruhi Suzumiya);Yuki Nagato;I am not referring to the absence of universally accepted personality traits. What I mean is literal, that Haruhi and I are not like other organic lifeforms such as yourself.;;;;;;;;
7332;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;It's exactly what the SOS Brigade needs! We need something like a mysterious transfer student!;;;;;;;;
7333;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;Then I'll tell everyone at school that all you geeks ganged up on her and ed her.;;;;;;;;
7334;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;Feelings of love are just a temporary lapse in judgment. Like a mental illness.;;;;;;;;
7335;(The Melancholy of Haruhi Suzumiya);Haruhi Suzumiya;I'm Haruhi Suzumiya, from East Junior High. First off, I'm not interested in ordinary people. But, if any of you are aliens, time-travelers, or espers, please come see me. That is all!;;;;;;;;
7336;(The Melancholy of Haruhi Suzumiya);Mikuru Asahina;That's classified information.;;;;;;;;
7337;(Bleach);Zaraki Kenpachi;*to Yammy after recieving his punch*  I barely feel a thing. Now I'm sure you think I'm a big fly or something. But if you are going to punch, you better put in some effort you great big worm.;;;;;;;;
7338;(Bleach);Zaraki Kenpachi;Never admit defeat and ask for a quick death! Die first, then admit defeat! If you are defeated but didn't die, it just means you were lucky! At those times, think only about survival! Survive and think only about killing the one who failed to kill you!;;;;;;;;
7339;(Bleach);Zaraki Kenpachi;You idiot! There's always shadows wherever there's light!;;;;;;;;
7340;(Bleach);Zaraki Kenpachi;Oh, shut up. I was just thinkin'. With four arms, you're just gonna keep on blockin' my blade. That's no fun at all. So, while I was layin' on the ground, I was thinkin' about how to stop you blockin' all my attacks. But, you know...I couldn't think up a single good idea lying down there. So I figure...I'll just have to take out those arms, one by one.;;;;;;;;
7341;(Bleach);Zaraki Kenpachi;Finished? It'll never be finished. A battle isn't like some stupid argument. As long as someone's still breathing, the fight isn't over.;;;;;;;;
7342;(Bleach);Zaraki Kenpachi;Playing comes first, you can work later!;;;;;;;;
7343;(D.Gray-man);Miranda Lotto;The reason that I'm no good... Even though I can't do anything well, I will attempt it anyways. Even though I decide not to try anymore, I regret it, and end up trying again. After all, I can't do anything right, it's better if I just don't try at all. I'm an idiot, aren't I...;;;;;;;;
7344;(D.Gray-man);Miranda Lotto;The old clock that nobody could budge. The sound of the chime moved my heart. It seemed like the clock had approved of my clumsy self.;;;;;;;;
7345;(D.Gray-man);Miranda Lotto;"I've never had anyone say ""thank you"" to me. That means I've never been helpful to anyone. I wanted somebody to say ""thank you"" to me and I wanted them to accept me.";;;;;;;;
7346;(D.Gray-man);Miranda Lotto;You know how there are people who aren't good at anything? Well, that's how I was.;;;;;;;;
7347;(D.Gray-man);Komui Lee;It's not a sacrifice. We're helping each other so we can can live.;;;;;;;;
7348;(D.Gray-man);Komui Lee;Wait Lenalee! Komurin is not evil! The coffee is evil!! Hate the crime, not the person. Hate the coffee, not Komurin, Lenalee.;;;;;;;;
7349;(D.Gray-man);Komui Lee;In this world, the only organisms that get cursed are humans.;;;;;;;;
7350;(D.Gray-man);Tyki Mikk;Seeing you like this, you don't look like a villain who's turned the whole world against him.;;;;;;;;
7351;(D.Gray-man);Tyki Mikk;As expected, you've gotta be evil to have fun.;;;;;;;;
7352;(D.Gray-man);Tyki Mikk;We only look immortal...because you guys are weak!!!;;;;;;;;
7353;(D.Gray-man);Tyki Mikk;Haha... He was my enemy. Shouldn't I kill him?;;;;;;;;
7354;(D.Gray-man);Tyki Mikk;If I'm not careful, I won't be able to go back. I don't want to lose it. Just... the white side of me... and the black side of me... having both of them is what makes it so enjoyable!;;;;;;;;
7355;(D.Gray-man);Road Kamelot;I guess Noah's can cry.;;;;;;;;
7356;(D.Gray-man);Road Kamelot;Allen has presumably exorcised Tyki’s Noah.;;;;;;;;
7357;(D.Gray-man);Road Kamelot;You know, though I like Allen, my family is also special to me... This kind of feeling is the same as yours, Allen. Don't move. I am not quite myself at the moment. Do you want to see holes open up in the bodies of your companions?;;;;;;;;
7358;(D.Gray-man);Road Kamelot;You're so nice, Allen~ You hate me, don't you? Don't shoot. Your hand is also a weapon, Allen. But an Exorcist crying because an Akuma disappeared is a big no-no. If you act like that, no one will like you. Let's play again sometime, Allen.;;;;;;;;
7359;(D.Gray-man);Millenium Earl;Do not underestimate the Innocence... They will do anything to defeat us... for they are demons.;;;;;;;;
7360;(D.Gray-man);Millenium Earl;There's a famous saying in the East. Even with a crappy gun, shoot a lot and you'll hit something. I have a hell of a lot of Akuma.;;;;;;;;
7361;(D.Gray-man);Millenium Earl;I'm creating Akuma for people's sake.;;;;;;;;
7362;(D.Gray-man);Lavi;You can't just keep quiet and watch anymore, right? You are a failure.;;;;;;;;
7363;(D.Gray-man);Lavi;The time spent in the Order passed on. I soon came to a point where I didn't know whether my smiling face was a lie or not.;;;;;;;;
7364;(D.Gray-man);Lavi;No matter where we go, it's just battles, battles and battles. I get it already, humans are stupid.;;;;;;;;
7365;(D.Gray-man);Lavi;*to Allen* We're not their allies. We're only involved... in order to record history. A Bookman has no need for a heart.;;;;;;;;
7366;(D.Gray-man);Lavi;That's it! I've had it with this. YOU'RE SCARY!! You're freakin' scarier than the Akuma!!;;;;;;;;
7367;(D.Gray-man);Lavi;I don't know, yeah? I'm suspicious of everything. I'm always suspicious of everyone around me. Someone I met yesterday could be an Akuma today. Cause that's the type of thing we're up against. You should understand that, Allen. We are at an overwhelming disadvantage. We're different from you, yeah? Not having that convenient eye. Akuma are mixed in with the humans. The other Exorcists and I... we end up looking at all humans as the Earl's minions.;;;;;;;;
7368;(D.Gray-man);Lenalee Lee;Innocence... Please take these feelings and change them into strength to protect everbody. If you do that, I will follow you. I will follow you till the day it all ends. Wherever you take me. But...please, at the end... At the very end, you must promise me you'll let me return to my brother's side.;;;;;;;;
7369;(D.Gray-man);Lenalee Lee;Please, God, I hate so much. Grant me power. For the first time, I want the Innocence so much.;;;;;;;;
7370;(D.Gray-man);Lenalee Lee;That day, when Brother came for me...that was when I thought I can't run from this place anymore. I stopped running away, back then. I stopped running...and I became an Exorcist.;;;;;;;;
7371;(D.Gray-man);Lenalee Lee;You shouldn't treat people's lives like toys. It's as if you're still kids, even though we're about the same age..! You're simply fools trying to look strong! For someone who treats this as a kid's game, Allen-kun who knows the importance of life is much, much stronger than you!!;;;;;;;;
7372;(D.Gray-man);Lenalee Lee;Move...Move! You are my legs! SO MOVE!!;;;;;;;;
7373;(D.Gray-man);Lenalee Lee;...we will. We will definitely win. I swear.;;;;;;;;
7374;(D.Gray-man);Lenalee Lee;Miranda... Don't bear the burden alone, ok? You are not the only Exorcist. We are all in this together. We are all walking this road with you.;;;;;;;;
7375;(D.Gray-man);Lenalee Lee;We can't just go back from here. If we turn back now, we are trampling down on the lives of those that got us this far.;;;;;;;;
7376;(D.Gray-man);Lenalee Lee;Lavi, when I got back to the ship, I was going to apologize. Allen, you've suffered so much. Yet, you're always looking out for me, thank you. I really shouldn't have borrowed this, Anita's precious hair band... Allen, I... I know you'll come back to us, that's what I decided to believe in.;;;;;;;;
7377;(D.Gray-man);Yu Kanda;I said I'd kill him. Now get lost. Or should I start with you guys first?;;;;;;;;
7378;(D.Gray-man);Yu Kanda;You're naive. We're destroyers, not saviors.;;;;;;;;
7379;(D.Gray-man);Yu Kanda;There are sacrifices that must be made, rookie.;;;;;;;;
7380;(D.Gray-man);Yu Kanda;This coat isn't a pillow for the wounded..!! It's the uniform of an Exorcist!!!;;;;;;;;
7381;(D.Gray-man);Yu Kanda;Die? I...I cannot die before I find that person.;;;;;;;;
7382;(D.Gray-man);Allen Walker;It's...it's... gross. Knowing there's something inside me I don't understand. It's gross.;;;;;;;;
7383;(D.Gray-man);Allen Walker;When there's something you can't understand no matter how much you think about it, you can't just let yourself brood over it forever!;;;;;;;;
7384;(D.Gray-man);Allen Walker;Tyki Mikk. There is something about us, Exorcists, that you do not understand. You think Exorcists are mere humans and by destroying their anti-Akuma weapon which is the Innocence...they will become powerless since they are mere humans. But the opponents you should really be afraid of are those humans.;;;;;;;;
7385;(D.Gray-man);Allen Walker;If it could come true, this is all I'd want. It would have been good if we just played poker and nobody died.;;;;;;;;
7386;(D.Gray-man);Allen Walker;Stupid master... If you die, I'll hate you for it.;;;;;;;;
7387;(D.Gray-man);Allen Walker;Because I am a small man, my heart is moved by what's in front of my eyes, not by what the world needs. I just can't abandon what's there in front of me. I want to protect everything I can!;;;;;;;;
7388;(D.Gray-man);Allen Walker;Finally... I have come here, Mana. Finally, I am at the starting line.;;;;;;;;
7389;(D.Gray-man);Yu Kanda;Hey, you, don't you dare call me by my first name or I'll slice you up!;;;;;;;;
7390;(D.Gray-man);Allen Walker;Bring salvation to this poor akuma's soul!;;;;;;;;
7391;(D.Gray-man);Allen Walker;I will shave your entire body.;;;;;;;;
7392;(D.Gray-man);Allen Walker;Kanda, isn't your long hair in the way? You should cut it. *after that Kanda tells him to GO DIE*;;;;;;;;
7393;(D.Gray-man);Yu Kanda;As If I'd go down that easily, dumbass.;;;;;;;;
7394;(D.Gray-man);Lavi;He's a she!;;;;;;;;
7395;(D.Gray-man);Lavi;"*beating his hammer in the sand* It's just like whack-a-mole and of course ""Strike""!";;;;;;;;
7396;(D.Gray-man);Allen Walker;General Cross is worse than an akuma.;;;;;;;;
7397;(D.Gray-man);Yu Kanda;*to Allen* Bean sprout!;;;;;;;;
7398;(D.Gray-man);Allen Walker;Wow you guys are slow.;;;;;;;;
7399;(D.Gray-man);Lavi;Allen, you know you're bleeding, right?;;;;;;;;
7400;(D.Gray-man);Allen Walker;*after Lenalee hits Lavi* Wow, Lenalee's punch of love.;;;;;;;;
7401;(D.Gray-man);Lavi;The only home that a man should ever need is within his heart.;;;;;;;;
7402;(D.Gray-man);Cross Marian;I'd rather get whipped by a pretty girl like you, than fight this pesky war.;;;;;;;;
7403;(D.Gray-man);Yu Kanda;This world is dark and it's so hard to breathe... but in this instant, when I laughed along with you, I felt that breathing just got a little more easier.;;;;;;;;
7404;(D.Gray-man);Allen Walker;My left I give you to the Akuma. My right I give you to the humans. Both are a part of me. And equally important. So neither side be disappointed. Humans as well as Akuma will be saved!;;;;;;;;
7405;(D.Gray-man);Tyki Mikk;Kid, we came to pick you up, y'know ?;;;;;;;;
7406;(D.Gray-man);Allen Walker;I am sure to choose my own path and walk down it, right? This path that I'm walking down... It's not the path that was chosen for me, is it?;;;;;;;;
7407;(D.Gray-man);Allen Walker;God? I don't care about that. I've made an oath to myself that I would destroy the devil! To my friends that I would fight alongside them! To my Father that I would keep walking until the end..! I Made An Oath To All Of Them!! This is the only path that I can take to feel alive.;;;;;;;;
7408;(D.Gray-man);Allen Walker;It's because of you that we're here now. That is more than enough. I'll bear my own injuries. As long as I live, I'll be able to recover. If I live, I can heal. Although scars will remains.;;;;;;;;
7409;(D.Gray-man);Allen Walker;Even if I can no longer see out of my left eye, I intend to continue being an exorcist... Just like my friends. I have made the vow.;;;;;;;;
7410;(D.Gray-man);Lavi;This is bad, Lenalee! You have to think more sexy thoughts, or else, you'll never find a lover!;;;;;;;;
7411;(D.Gray-man);Cross Marian;What would you do if I told you that you would have to kill someone you love when you become the fourteenth?..;;;;;;;;
7412;(D.Gray-man);Komui Lee;Hate the game, not the player. Hate the coffee, not komurin II.;;;;;;;;
7413;(D.Gray-man);Allen Walker;I want to be a destroyer who saves.;;;;;;;;
7414;(D.Gray-man);Allen Walker;*to Lavi* Get of your high horse!;;;;;;;;
7415;(D.Gray-man);Tyki Mikk;Kitchen Knife-kun!;;;;;;;;
7416;(D.Gray-man);Komui Lee;I'm a master of science.;;;;;;;;
7417;(D.Gray-man);Yu Kanda;If you're going to fall, do it by yourself!;;;;;;;;
7418;(D.Gray-man);Timothy Hearst;Boobie squeeze!;;;;;;;;
7419;(D.Gray-man);Lavi;*to Allen* If it gets cold we're gonna have to cuddle.;;;;;;;;
7420;(D.Gray-man);Yu Kanda;I ain't your son!;;;;;;;;
7421;(D.Gray-man);Yu Kanda;You fake gentleman!;;;;;;;;
7422;(D.Gray-man);Tyki Mikk;*after Road suggests to make a farewell party for Skin* Don't you mean a funeral.;;;;;;;;
7423;(D.Gray-man);Allen Walker;It's just as you say. I wanted to tell you, that I'd come back. I knew you'd come for me, Brother... This time, I will kill you. I will kill you and become the Millenium Earl!;;;;;;;;
7424;(D.Gray-man);Lavi;War is sorrowful. The flames of war burn away life and dreams and bonds, leaving behind countless sorrows. So sorrow gives birth to tragedy. And tragedy gives birth to Akuma.;;;;;;;;
7425;(D.Gray-man);Lenalee Lee;If there's nobody left, even if the real world is saved, I'll be destroyed...;;;;;;;;
7426;(D.Gray-man);Cross Marian;Let's overlook everything you did to the members of the Order... I'm not that cruel of a man after all. But then again, you went and messed up my clothes.;;;;;;;;
7427;(D.Gray-man);Cross Marian;Oi! You! You're in the presence of a beautiful being! Filthy things shouldn't get near me!;;;;;;;;
7428;(D.Gray-man);Allen Walker;No matter how faint our hopes are, even if we don't have anything we can rely on...I will NEVER give up!;;;;;;;;
7429;(D.Gray-man);Cross Marian;A path is something you create as you walk it. The ground you've trodden hardens, and that's what forms your path. You're the only one who can create your own path.;;;;;;;;
7430;(Cardcaptor Sakura);Yukito Tsukishiro;*Laughing* Touya, you can't help but think that Sakura is really, really cute.;;;;;;;;
7431;(Cardcaptor Sakura);Yue;I see you have a determined spirit, Sakura... however... I am not as sentimental as Keroberos.;;;;;;;;
7432;(Cardcaptor Sakura);Touya Kinomoto;I'm really lucky to have a dinosaur for a little sister!;;;;;;;;
7433;(Cardcaptor Sakura);Meiling Li;If he can fly, I can fly! I can do anything he can!;;;;;;;;
7434;(Cardcaptor Sakura);Sakura Kinomoto;You really loved Mr. Clow, didn't you? It hurts, doesn't it? It hurts to lose someone you love.;;;;;;;;
7435;(Cardcaptor Sakura);Clow Reed;Water... is a thing that flows.;;;;;;;;
7436;(Cardcaptor Sakura);Tomoyo Daidouji;*to Syaoran* No matter what you are thinking, if you don't say it, you won't be able to express it.;;;;;;;;
7437;(Cardcaptor Sakura);Tomoyo Daidouji;*to Kero* Our relationship chart has gotten rather complicated.;;;;;;;;
7438;(Cardcaptor Sakura);Eriol Hiiragizawa;I didn't know everything. There were a couple things that happened that weren't expected by myself or Clow Reed.;;;;;;;;
7439;(Cardcaptor Sakura);Eriol Hiiragizawa;In this life, I'm known as Eriol Hiiragizawa. In my past life, I was known as...Clow Reed.;;;;;;;;
7440;(Cardcaptor Sakura);Eriol Hiiragizawa;*to Sakura* A smile suits best on your face.;;;;;;;;
7441;(Cardcaptor Sakura);Syaoran Li;*to Sakura* I... I love you.;;;;;;;;
7442;(Cardcaptor Sakura);Syaoran Li;I'm going to get all the Clow cards.;;;;;;;;
7443;(Cardcaptor Sakura);Syaoran Li;Even if I lose this feeling, I'm sure that I'll just fall in love with you all over again.;;;;;;;;
7444;(Cardcaptor Sakura);Sakura Kinomoto;I am not a monster!;;;;;;;;
7445;(Cardcaptor Sakura);Sakura Kinomoto;*to Yue*  I don't want to be your master. I want to be your friend.;;;;;;;;
7446;(Cardcaptor Sakura);Sakura Kinomoto;The person he loves, I love that person too, and I'm sure that person loves him too. So it's okay that he doesn't love me.;;;;;;;;
7447;(Cardcaptor Sakura);Tomoyo Daidouji;Whatever your thoughts may be, if you don't say them, none of them will be acknowledged by others.;;;;;;;;
7448;(Cardcaptor Sakura);Touya Kinomoto;Yuki, have some antidote before you leave. *to Yukito, as he eats Sakura's cooking*;;;;;;;;
7449;(Cardcaptor Sakura);Sakura Kinomoto;*to Kero* Stop eating snacks so mindlessly and think of what we can do!;;;;;;;;
7450;(Cardcaptor Sakura);Sakura Kinomoto;"*to Li* In the elevator, when you called me ""Sakura"", it made me very happy.";;;;;;;;
7451;(Cardcaptor Sakura);Yukito Tsukishiro;I know! You must be hungry! No wait, that's me.;;;;;;;;
7452;(Cardcaptor Sakura);Kero;Get my cool pose as well!;;;;;;;;
7453;(Cardcaptor Sakura);Spinel Sun;I know our magic is hidden in these forms and he can't sense a thing. But a FAIRY?! How would YOU like to be called a fairy?!;;;;;;;;
7454;(Cardcaptor Sakura);Tomoyo Daidouji;Men are complicated!;;;;;;;;
7455;(Cardcaptor Sakura);Tomoyo Daidouji;The greatest happiness for me is to let the person I most like have the most happiness.;;;;;;;;
7456;(Cardcaptor Sakura);Eriol Hiiragizawa;You always look at me with such a scary face.;;;;;;;;
